,tconst,averagerating,numvotes,primary_title,start_year,runtime_minutes,genres
45623,tt9537008,99,417,Gini Helida Kathe,2019,138.0,Drama
63149,tt7131622,97,5600,Once Upon a Time ... in Hollywood,2019,159.0,"Comedy,Drama"
73780,tt8718580,97,639,Eghantham,2018,125.0,Drama
44325,tt9787524,97,72,DOSED,2019,82.0,Documentary
27195,tt6058226,96,2604,Ekvtime: Man of God,2018,132.0,"Biography,Drama,History"
54115,tt4131686,96,1339,I Want to Live,2015,106.0,"Adventure,Biography,Documentary"
19606,tt9343826,96,808,Ananthu V/S Nusrath,2018,149.0,"Comedy,Drama,Family"
3908,tt9680166,96,624,Yeh Suhaagraat Impossible,2019,92.0,Comedy
65037,tt9760512,96,427,D/O Parvathamma,2019,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Action
63356,tt8751896,96,98,Gangter in Morteni,2017,69.0,Drama
59836,tt4329396,96,78,Trenches of Rock,2017,87.0,"Documentary,Drama,Music"
12174,tt5963218,95,6509,Aloko Udapadi,2017,113.0,"Drama,History"
52097,tt6842524,95,829,"Hare Krishna! The Mantra, the Movement and the Swami Who Started It All",2017,90.0,Documentary
63316,tt8354112,95,617,Mosul,2019,86.0,Documentary
62046,tt8866064,95,354,10 Days Before the Wedding,2018,120.0,"Comedy,Drama,Musical"
71224,tt8063272,95,349,Uninvited: Marcelo Burlon,2017,83.0,Documentary
2205,tt9417594,95,140,Kosovo: A Moment In Civilization,2017,46.0,Documentary
51975,tt3466094,95,86,Turnover,2019,123.0,"Comedy,Drama,Family"
52269,tt7842888,95,84,Never-Ending Road,2017,111.0,Drama
23086,tt7379662,95,74,From Core to Sun,2018,90.0,Documentary
35805,tt7302010,95,70,Taawdo the Sunlight,2017,98.0,Drama
55538,tt3246874,95,65,Wish Man,2019,107.0,Biography
37643,tt9689370,95,62,Pooh: The Derrick Rose Story,2019,100.0,Documentary
33777,tt6014396,95,61,Do U Want It?,2017,95.0,"Documentary,Music"
52424,tt9617716,95,60,Everybody's Everything,2019,116.0,Documentary
34642,tt6097926,95,57,Arrangiarsi: Pizza... & the Art of Living,2017,91.0,Documentary
4461,tt7738784,94,9629,Peranbu,2018,147.0,Drama
34792,tt10084190,94,952,Chandigarh amritsar chandigarh,2019,107.0,"Comedy,Drama,Romance"
68602,tt5624252,94,927,That Vitamin Movie,2016,86.0,Documentary
13554,tt9390200,94,816,Dokyala Shot,2019,122.0,Thriller
18232,tt5858514,94,797,The Children of Genghis,2017,101.0,"Adventure,Family"
4507,tt8203706,94,500,American Deep State,2019,62.0,Documentary
22219,tt3746274,94,500,Mama's Heart. Gongadze,2017,100.0,"Biography,Crime,Documentary"
72554,tt6859280,94,192,"The Nagano Tapes: Rewound, Replayed & Reviewed",2018,73.0,Documentary
27338,tt6693242,94,104,3 Wheeling,2017,101.0,"Documentary,Sport"
41950,tt7622496,94,99,250 Stepenika,2017,58.0,Documentary
10447,tt6282380,94,90,What Is Classic Rock?,2018,92.0,"Documentary,Music"
57617,tt5119202,94,90,Going Furthur,2016,96.0,"Documentary,History"
7023,tt6321972,94,80,The Flip Side: A Truth That Could Not Reach You,2015,48.0,Documentary
24275,tt4007276,94,78,Officer Involved,2017,96.0,Documentary
