,tconst,averagerating,numvotes
0,tt10356526,83,31
1,tt10384606,89,559
2,tt1042974,64,20
3,tt1043726,42,50352
4,tt1060240,65,21
5,tt1069246,62,326
6,tt1094666,70,1613
7,tt1130982,64,571
8,tt1156528,72,265
9,tt1161457,42,148
10,tt1171222,51,8296
11,tt1174693,58,2381
12,tt1181840,70,5494
13,tt1193623,80,5
14,tt1199588,55,74
15,tt1204784,58,6
16,tt1210166,76,326657
17,tt1212419,65,87288
18,tt1220911,50,941
19,tt1229238,74,428142
20,tt1232829,72,477771
21,tt1235548,66,2725
22,tt1243974,54,54646
23,tt1250861,62,416
24,tt1258812,40,21
25,tt1261945,44,69199
26,tt1266037,70,1413
27,tt1270291,58,5728
28,tt1270761,56,44490
29,tt1272886,61,6688
30,tt1274297,54,381
31,tt1283887,54,2527
32,tt1285219,34,387
33,tt1287879,77,76
34,tt1290476,72,6
35,tt1294141,45,113
36,tt1320239,62,18431
37,tt1322312,63,54421
38,tt1323962,51,101
39,tt1325014,67,4240
40,tt1325019,72,29
41,tt1326743,84,21
42,tt1327602,78,8
43,tt1328913,52,738
44,tt1331329,36,1621
45,tt1332570,21,17
46,tt1343110,25,345
47,tt1343740,46,495
48,tt1346690,77,7
49,tt1352393,77,1293
50,tt1358596,77,6
51,tt1360829,50,223
52,tt1368858,54,4302
53,tt1374988,61,163
54,tt1376213,54,5257
55,tt1378667,75,31
56,tt1379736,57,15
57,tt1381418,54,6220
58,tt1400515,35,1701
59,tt1403981,71,129443
60,tt1403990,85,31
61,tt1404830,53,1768
62,tt1409015,82,40
63,tt1417086,75,197
64,tt1418760,64,1502
65,tt1420547,61,16
66,tt1422020,70,10025
67,tt1426379,38,9
68,tt1426385,49,19
69,tt1428464,64,227
70,tt1438493,63,86
71,tt1443518,55,297
72,tt1447483,69,28
73,tt1450750,86,27
74,tt1456110,65,60
75,tt1460739,73,354
76,tt1460743,69,6990
77,tt1465505,64,5273
78,tt1465519,47,1497
79,tt1467290,63,173
80,tt1468387,65,2306
81,tt1474456,32,103
82,tt1478277,26,102
83,tt1479320,56,143
84,tt1480670,52,303
85,tt1486670,47,3713
86,tt1488109,82,14
87,tt1492849,52,534
88,tt1494611,73,102
89,tt1499658,69,398695
90,tt1508689,47,16
91,tt1510989,39,83
92,tt1512098,59,33
93,tt1512102,59,67
94,tt1512893,34,212
95,tt1515069,83,15
96,tt1515208,63,1447
97,tt1516577,53,147
98,tt1516595,44,64
99,tt1517225,74,2189
100,tt1517605,87,23
101,tt1521782,68,19
102,tt1527710,77,29
103,tt1527723,73,9
104,tt1527821,61,160
105,tt1528274,78,11
106,tt1534084,45,875
107,tt1535109,78,387402
108,tt1535491,70,3218
109,tt1535611,68,20
110,tt1537385,80,53
111,tt1538545,58,821
112,tt1538833,72,395
113,tt1538988,71,224
114,tt1539042,55,382
115,tt1539491,56,55
116,tt1540074,79,71
117,tt1545489,49,137
118,tt1547032,70,7
119,tt1549572,70,85839
120,tt1555056,68,20
121,tt1555187,20,164
122,tt1558741,51,430
123,tt1559035,75,34
124,tt1560962,60,7
125,tt1562295,70,36
126,tt1563121,37,40
127,tt1564368,47,1522
128,tt1564870,56,614
129,tt1569505,61,231
130,tt1570962,58,172
131,tt1571416,79,75
132,tt1575538,82,5
133,tt1575695,69,14
