,rating,genre,director,writer,theater_date,currency,box_office,runtime
1,R,Drama|Science Fiction and Fantasy,David Cronenberg,David Cronenberg|Don DeLillo,2012,$,600000,108 minutes
6,PG-13,Comedy,Jake Kasdan,Mike White,2002,$,41032915,82 minutes
7,R,Drama,Ray Lawrence,Raymond Carver|Beatrix Christian,2006,$,224114,123 minutes
8,R,Drama,Taylor Hackford,Mark Jacobson,2010,$,134904,117 minutes
15,R,Comedy|Drama|Mystery and Suspense,George Hickenlooper,Norman Snider,2010,$,1039869,108 minutes
16,R,Drama,,,2013,$,99165609,129 minutes
18,PG-13,Action and Adventure|Drama|Science Fiction and Fantasy,Carl Erik Rinsch,Chris Morgan|Hossein Amini,2013,$,20518224,127 minutes
19,R,Art House and International|Comedy|Drama|Musical and Performing Arts,Jim Jarmusch,Jim Jarmusch,2004,$,1971135,96 minutes
28,R,Drama,John Sayles,John Sayles,2003,$,312136,95 minutes
29,R,Drama,Ken Loach,Paul Laverty,2003,$,201010,106 minutes
44,R,Comedy,,,2012,$,132088910,122 minutes
48,R,Action and Adventure|Drama|Horror|Mystery and Suspense,James Wong,James Wong|Glen Morgan,2006,$,54100000,93 minutes
51,PG,Comedy|Kids and Family|Romance,Kevin Lima,,2007,$,127706877,108 minutes
52,R,Mystery and Suspense,Niels Arden Oplev,,2013,$,10880926,118 minutes
60,R,Action and Adventure|Mystery and Suspense,Patrick Lussier,,2011,$,10706786,107 minutes
61,PG-13,Comedy|Drama,Tom Hanks,Tom Hanks|Nia Vardalos,2011,$,35565975,99 minutes
69,PG,Art House and International|Drama|Musical and Performing Arts,Bruce Beresford,Jan Sardi,2010,$,4806750,117 minutes
76,R,Drama|Sports and Fitness,Ben Younger,Ben Younger,2016,$,5051927,116 minutes
79,PG-13,Comedy|Romance,,,2002,$,93300000,102 minutes
86,R,Comedy|Drama|Kids and Family,Derrick Borte,Derrick Borte,2010,$,1000000,93 minutes
97,PG-13,Action and Adventure|Science Fiction and Fantasy,Rob Bowman,Terry Hayes|Kevin Peterka|Gregg Chabot|Matthew Greenberg|Matt Greenberg,2002,$,42929971,101 minutes
106,R,Horror|Mystery and Suspense,Christian Alvart,Ray Wright,2010,$,13248477,109 minutes
120,PG,Comedy|Kids and Family,Thor Freudenthal,Jackie Filgo|Jeff Filgo|Gabe Sachs|Jeff Judah,2010,$,64001297,93 minutes
121,R,Comedy|Drama,Jennifer Jason Leigh|Alan Cumming,Jennifer Jason Leigh|Alan Cumming,2001,$,2974308,115 minutes
123,PG-13,Drama|Sports and Fitness,Clint Eastwood,Anthony Peckham,2009,$,37431431,134 minutes
124,PG-13,Comedy,Sam Weisman,,2003,$,22715908,98 minutes
125,PG-13,Action and Adventure|Drama,Martin Campbell,Robert King|Terry Hayes,2000,$,67771442,124 minutes
130,R,Horror|Mystery and Suspense,Jamie Blanks,,2001,$,19755422,96 minutes
139,PG,Action and Adventure|Comedy|Kids and Family,Thor Freudenthal,Jeff Lowell|Lois Duncan|Robert Schooley|Mark McCorkle,2009,$,73023275,100 minutes
144,R,Comedy|Drama,Colin Trevorrow,Derek Connolly,2012,$,4007792,86 minutes
146,NR,Drama,Rakeysh Omprakash Mehra|Rakeysh Omprakesh Mehra,Prasoon Joshi,2013,$,1626289,188 minutes
151,PG-13,Comedy,Jeff Byrd,Wayne Conley,2005,$,3998889,98 minutes
159,PG-13,Drama|Romance,Derek Cianfrance,Derek Cianfrance,2016,$,12533911,132 minutes
160,R,Drama|Musical and Performing Arts,Lars von Trier,Lars von Trier,2000,$,2839256,137 minutes
165,PG-13,Drama|Horror|Mystery and Suspense|Romance,Gore Verbinski,Ehren Kruger,2002,$,128579698,115 minutes
173,PG,Comedy|Drama|Musical and Performing Arts,Todd Graff,,2009,$,5205343,111 minutes
177,PG-13,Action and Adventure|Drama,,Kelsie Kullman,2006,$,54983983,15 minutes
188,R,Action and Adventure|Drama,Stan Lathan|Vondie Curtis-Hall,Vondie Curtis-Hall|Darin Scott,2006,$,21318194,97 minutes
189,R,Art House and International|Drama|Horror|Mystery and Suspense|Science Fiction and Fantasy,Neil Jordan,Moira Buffini,2013,$,84293,118 minutes
190,R,Drama|Romance,Todd Haynes,Phyllis Nagy,2015,$,8518148,118 minutes
198,R,Horror,Rob Zombie,Rob Zombie,2003,$,12583510,88 minutes
201,R,Comedy,Mark Helfrich,Josh Stolberg,2007,$,35000629,101 minutes
207,R,Action and Adventure|Drama|Western,,,2016,$,976847,97 minutes
214,R,Comedy|Western,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,2014,$,37331031,116 minutes
218,R,Comedy,Tim Heidecker|Eric Wareheim,Doug Lussenhop|Tim Heidecker|Jonathan Krisel|Eric Wareheim,2012,$,145778,94 minutes
