,rating,genre,director,writer,theater_date,currency,box_office,runtime
862,R,Comedy|Drama,,Kenya Barris|Tracy Oliver,2017,$,115088305,122 minutes
509,PG,Animation|Kids and Family,Clay Kaytis|Fergal Reilly,Jon Vitti,2016,$,107506776,95 minutes
434,PG-13,Comedy,Trish Sie,Mike White|Kay Cannon,2017,$,104880310,
1469,R,Animation|Comedy,Conrad Vernon|Greg Tiernan,Kyle Hunter|Ariel Shaffir|Seth Rogen|Evan Goldberg,2016,$,97661826,89 minutes
1328,PG-13,Drama,Ryan Coogler,Ryan Coogler|Aaron Covington,2015,$,81157671,132 minutes
1073,PG,Animation|Comedy|Kids and Family,Walt Becker,,2015,$,66580191,86 minutes
545,R,Comedy,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,2015,$,63883740,120 minutes
605,R,Comedy|Drama,Martin McDonagh,Martin McDonagh,2017,$,52000189,115 minutes
1302,PG-13,Drama,Clint Eastwood,Dorothy Blyskal,2018,$,35003216,120 minutes
1187,PG-13,Comedy,Steven Soderbergh,Rebecca Blunt,2017,$,27696504,119 minutes
1275,R,Drama|Mystery and Suspense,David Mackenzie,Taylor Sheridan,2016,$,26973524,102 minutes
247,R,Horror,Guillermo del Toro,Guillermo del Toro|Matthew Robbins|Lucinda Coxon,2015,$,25957696,119 minutes
905,PG-13,Horror,David Gelb,Luke Dawson|Jeremy Slater,2015,$,20467547,83 minutes
899,R,Comedy|Drama,Glenn Ficarra|John Requa,Robert Carlock,2016,$,18356529,111 minutes
1054,PG-13,Drama,Mike Binder,Mike Binder,2015,$,15504419,90 minutes
585,R,Drama,Brad Furman,Ellen Brown Furman,2016,$,15425870,127 minutes
611,R,Drama,Michael Showalter,Laura Terruso|Michael Showalter,2016,$,14443077,95 minutes
1330,R,Comedy|Drama,Kelly Fremon Craig,Kelly Fremon Craig,2016,$,14260193,98 minutes
1088,R,Drama|Horror,Trey Edward Shults,Trey Edward Shults,2017,$,13985117,91 minutes
159,PG-13,Drama|Romance,Derek Cianfrance,Derek Cianfrance,2016,$,12533911,132 minutes
1393,PG,Animation|Comedy|Kids and Family,Ash Brannon,Ash Brannon|Kurt Voelker,2017,$,9404922,80 minutes
190,R,Drama|Romance,Todd Haynes,Phyllis Nagy,2015,$,8518148,118 minutes
527,R,Drama|Mystery and Suspense,Paul Thomas Anderson,Paul Thomas Anderson,2015,$,6100613,148 minutes
1035,PG,Comedy|Romance,Eleanor Coppola,Eleanor Coppola,2017,$,5617321,92 minutes
76,R,Drama|Sports and Fitness,Ben Younger,Ben Younger,2016,$,5051927,116 minutes
1421,R,Drama,Danny Boyle,John Hodge,2017,$,2395410,118 minutes
1151,R,Drama,Jocelyn Moorhouse,,2016,$,2021399,118 minutes
622,R,Drama,Barry Levinson,Mitch Glazer,2015,$,1940202,100 minutes
664,R,Drama,Ang Lee,Jean-Christophe Castelli,2016,$,1736708,110 minutes
1248,PG-13,Art House and International|Drama|Mystery and Suspense|Romance,Julian Jarrold,Trevor De Silva|Kevin Hood,2015,$,1626909,97 minutes
1284,NR,Action and Adventure,Dante Lam,Ji Feng,2018,$,1526248,141 minutes
1537,NR,Action and Adventure|Art House and International,Ciro Guerra,Ciro Guerra|Jacques Toulemonde Vidal,2016,$,1320005,123 minutes
207,R,Action and Adventure|Drama|Western,,,2016,$,976847,97 minutes
1499,PG-13,Drama,Peter Landesman,Peter Landesman,2017,$,766428,
955,R,Drama,Ewan McGregor,John Romano,2016,$,541457,126 minutes
492,PG-13,Comedy,Dave McCary,Kevin Costello,2017,$,529426,97 minutes
860,PG,Drama,Hirokazu Koreeda,Hirokazu Koreeda,2016,$,466986,128 minutes
278,PG-13,Drama,Stephen Bradley,Stephen Bradley,2015,$,347321,100 minutes
1030,PG-13,Comedy|Romance,Youssef Delara,Victor Teran|Youssef Delara|Staci Robinson,2016,$,320676,104 minutes
371,NR,Art House and International|Drama,Jayro Bustamante,Jayro Bustamante,2016,$,292923,91 minutes
1425,PG,Documentary,Lucy Walker,,2017,$,118253,111 minutes
1300,R,Drama,Josh Mond,Josh Mond,2015,$,101368,85 minutes
1475,R,Action and Adventure|Art House and International|Drama,Daniel Lee,Daniel Lee,2015,$,72413,103 minutes
